Property_Inventor_InventorCode,Inventor Code
View_FromPdaDashboardPart_columnItur,Itur
View_FromPdaDashboardPart_columnTotalItems,Total Items
View_FromPdaDashboardPart_tbGetDataFromPda,Get Data From PDA
View_HomeDashboard_tiConfig,Config
View_HomeDashboard_tiExportZip,Export zip file
View_HomeDashboard_tiHomeDashboard,Home Dashboard
View_HomeDashboard_tiImportZip,Import zip file
View_HomeDashboard_tiPathSettings,Path settings
View_HomeDashboard_tiProcessDashboard,Process Dashboard
View_HomeDashboard_tiSqlScript,Sql script
View_ImportAdapter_chkBarcodes,Import Barcodes from
View_ImportAdapter_chkImportBarcodeWithSpace,Import Barcode with Space
View_ImportAdapter_chkImportBuildingConfig,BuildingConfig
View_ImportAdapter_chkImportCatalog,Catalog
View_ImportAdapter_chkImportEmployees,Employee
View_ImportAdapter_chkImportFamily,Import Family
View_ImportAdapter_chkImportLocations,Location
View_ImportAdapter_chkImportPreviousInventory,PreviousInventory
View_ImportAdapter_chkImportProfile,Profile
View_ImportAdapter_chkImportPropertyDecorator,PropertyDecorator
View_ImportAdapter_chkImportPropertyStr10List,PropertyStr10List
View_ImportAdapter_chkImportPropertyStr11List,PropertyStr11List
View_ImportAdapter_chkImportPropertyStr12List,PropertyStr12List
View_ImportAdapter_chkImportPropertyStr13List,PropertyStr13List
View_ImportAdapter_chkImportPropertyStr14List,PropertyStr14List
View_ImportAdapter_chkImportPropertyStr15List,PropertyStr15List
View_ImportAdapter_chkImportPropertyStr16List,PropertyStr16List
View_ImportAdapter_chkImportPropertyStr17List,PropertyStr17List
View_ImportAdapter_chkImportPropertyStr18List,PropertyStr18List
View_ImportAdapter_chkImportPropertyStr19List,PropertyStr19List
View_ImportAdapter_chkImportPropertyStr1List,PropertyStr1List
View_ImportAdapter_chkImportPropertyStr20List,PropertyStr20List
View_ImportAdapter_chkImportPropertyStr2List,PropertyStr2List
View_ImportAdapter_chkImportPropertyStr3List,PropertyStr3List
View_ImportAdapter_chkImportPropertyStr4List,PropertyStr4List
View_ImportAdapter_chkImportPropertyStr5List,PropertyStr5List
View_ImportAdapter_chkImportPropertyStr6List,PropertyStr6List
View_ImportAdapter_chkImportPropertyStr7List,PropertyStr7List
View_ImportAdapter_chkImportPropertyStr8List,PropertyStr8List
View_ImportAdapter_chkImportPropertyStr9List,PropertyStr9List
View_ImportAdapter_chkImportPropertyStrList,PropertyStrList
View_ImportAdapter_chkImportSection,Import Section
View_ImportAdapter_chkImportSelectAllPropertyStrList,Select All
View_ImportAdapter_chkImportSuppliers,Import Supplier
View_ImportAdapter_chkImportTemplateInventory,TemplateInventory
View_ImportAdapter_chkOnlyMask,Only xxxx-xxxx-xx or xxxx-xxxx
View_ImportAdapter_chkUpdatePriceBuy,Update Price Buy
View_ImportAdapter_chkUpdatePriceSell,Update Price Sell
View_ImportAdapter_chkUpdateProfileFromFtp,Update Profile from Ftp before Import
View_ImportAdapter_chkUpdateSN,Copy Supplier Code to SerialNumber Code
View_ImportAdapter_MergeWith,Merge With
View_ImportAdapter_radioDirectory,Directory content
View_ImportAdapter_radioFile,Single file
View_ImportAdapter_radioInventorys,Inventories
View_ImportAdapter_radioInventoryShift,Movements
View_ImportAdapter_tbByMakat,By Makat
View_ImportAdapter_tbCopyFromSourceFolder,Copy Files from Source Folder to Import Folder
View_ImportAdapter_tbFromSourceFolder,From Source Folder
View_ImportAdapter_tbImportSection,Import Section
View_ImportAdapter_tbProfile,Profile
View_ImportAdapter_tbShowDestination,Show Destination
View_ImportAdapter_tbShowDetails,Show Details
View_ImportAdapter_tbShowSource,Show Source
View_ImportAdapter_tbStep1,Step 1
View_ImportAdapter_tbStep2,Step 2
View_ImportAdapter_tbStep3,Step 3
View_ImportAdapter_tbStep4,Step 4
View_ImportAdapter_tbUpdatePriceSell,Update Price Sell
View_ImportAdapter_tbWithBarcode,With Additional Barcode
View_ImportAdapter_tbWithFamily,With Family
View_ImportAdapter_tbWithQuantityERP,With Quantity ERP
View_ImportAdapter_tbWithSerialNumber,With SerialNumber
View_ImportAdapterCountFiles,Quantity Files
View_ImportAdapterFromNativPlus,From Nativ_Infrastructure.xlsx [Nativ +]
View_ImportAdapterMultiFiles,Multi Files from Folders
View_ImportAdapterPath,Path
View_ImportAdapterSourcePath,Source Path
View_ImportFolders_grpCatalogs,Catalogs
View_ImportFolders_grpIturs,Iturs
View_ImportFolders_grpLocations,Locations
View_ImportFolders_grpSections,Sections
View_ImportFolders_tbAdapter,Adapter:
View_ImportFolders_tbCatalog,Catalog
View_ImportFolders_tbDescription,Description:
View_ImportFolders_tbFamily,Family
View_ImportFolders_tbInventProduct,Invent Product
View_ImportFolders_tbIturim,Iturim
View_ImportFolders_tbLocation,Location
View_ImportFolders_tbSection,Section
View_ImportFolders_tbSupplier,Supplier
View_ImportFromPda_busyContent,Importing...
View_ImportFromPda_tbComplexAdapter,Complex Adapter
View_ImportFromPda_tbImportAdapter,Import PDA adapter
View_ImportPda_chkContinueGrab,Import until in inData there are Files
View_ImportPda_chkNavigateBack,Navigate backward after import process
View_ImportPosSuperPharmAdapter_chkClearBeforeUpdate,Clear Before Update
View_ImportPosSuperPharmAdapter_chkUpdateOnlyErp,Update Only Erp Quantity
View_ImportWithModel_chkTryFast,Fast Import
View_ImportWithModules_ChangeCurrentInventor,Change Current Inventory
View_ImportWithModules_chkCopyFilesToFtp,Copy to Ftp
View_ImportWithModules_chkCreateZipFile,Zip File
View_ImportWithModules_chkCutAfterInvert,Cut after invert Lf2Rt
View_ImportWithModules_chkIncludeCurrentInventor,Include Current Inventor
View_ImportWithModules_chkIncludePreviousInventor,Include Previous Inventor
View_ImportWithModules_chkIncludeProfile,Include Profile
View_ImportWithModules_chkInvertLetters,Invert Letters
View_ImportWithModules_chkInvertWords,Invert Words
View_ImportWithModules_CurrentInventor,Current Inventory
View_ImportWithModules_grpDefaultAdapterFrom,Default adapter from:
View_ImportWithModules_InitFromGUIForm,Init from GUI
View_ImportWithModules_radioAbsolutePath,Absolute Path
View_ImportWithModules_radioFile,File
View_ImportWithModules_radioFromAdapter,From Adapter
View_ImportWithModules_radioFromBranch,From branch:
View_ImportWithModules_radioFromCustomer,From customer:
View_ImportWithModules_radioFromInventor,From inventor:
View_ImportWithModules_radioFtpPath,Ftp Path
View_ImportWithModules_radioGetConfigFrom,Get Data From
View_ImportWithModules_radioInitFromConfigResources,Init from Config
View_ImportWithModules_radioInternalResources,Internal resources
View_ImportWithModules_tbBranchName,Branch Name
View_ImportWithModules_tbCustomerName,Customer Name
View_ImportWithModules_tbEncoding,Encoding
View_ImportWithModules_tbImportAdapter,Import Adapter
View_ImportWithModules_tbImportExportAdapter,Complex Adapter
View_ImportWithModules_tbImportExportFrom,Import- Export From
View_ImportWithModules_tbImportFrom,Import from:
View_ImportWithModules_tbInventorName,Inventor Name
View_ImportWithModules_tbLogLevel,Logging level
View_ImportWithModules_tbSetAdapter,Adapter as Defaut
View_ImportWithModules_tbUpdateAdapter,Update adapter:
View_ImportWithModules_tbUpdateFrom,Update from:
View_InProcessDBPath,InProcess Path
View_InventorAdd_grpChooseAction,Choose Action
View_InventorAdd_grpInheritDataBaseFrom,Inherit DB From 
View_InventorAdd_grpInheritDataFrom,Inherit data from:
View_InventorAdd_tbBranch,Branch:
View_InventorAdd_tbCreateNew,Create new Inventor
View_InventorAdd_tbCustomer,Customer:
View_InventorAdd_tbSaveOpenInventor,Save Inventory, set it as process and open in Inventor Dashboard
View_InventorAdd_tbSaveOpenMain,Save Inventory, set it as process and open in Main Dashboard
View_InventorAdd_tbSaveReturnHome,Save Inventory and return to Home Dashboard
View_InventorAdd_tbWithoutInheritance,Without inheritance
View_InventorAdd_tiDefaultImportAdapters,Default import adapters
View_InventorAdd_tiGeneral,General
View_InventorChangeStatus_columnFileType,File Type
View_InventorChangeStatus_columnInclude,Include
View_InventorChangeStatus_columnPrint,Print
View_InventorChangeStatus_columnReportCode,Report Code
View_InventorChoose_btnCreateNew,Create new Inventor
View_InventorChoose_btnOpenCurrentInventor,Open current inventory
View_InventorChoose_btnOpenInventorDashboard,Open inventor dashboard
View_InventorChoose_btnPrevious,Select branch < Previous
View_InventorChoose_columnBranchCode,Branch Code
View_InventorChoose_columnBranchName,Branch Name
View_InventorChoose_columnCode,Code
View_InventorChoose_columnCreateDate,CreateDate
View_InventorChoose_columnCustomerCode,Customer code
View_InventorChoose_columnCustomerName,Customer Name
View_InventorChoose_columnDescription,Description
View_InventorChoose_columnImportCatalogAdapter,Import Catalog Adapter
View_InventorChoose_columnInventorDate,InventorDate
View_InventorChoose_columnUpdateCatalogDate,Updated Catalog
View_InventorChoose_tbDateFrom,Date from:
View_InventorChoose_tbDateTo,Date to:
View_InventorChoose_tbInventor,Inventor
View_InventorEdit_tbEdit,Edit inventor
View_InventorEdit_tiDefaultImportAdapters,Default import adapters
View_InventorEdit_tiGeneral,General
View_InventorForm_tbBranchCodeLocal,Local Branch Code
View_InventorForm_tbCode,Code:
View_InventorForm_tbDescription,Description:
View_InventorForm_tbERPBranchCode,ERP Branch Code
View_InventorForm_tbInventorDate,Inventor date:
View_InventorForm_tbParameters,Parameters
View_InventorForm_tbPathToDb,Path to database file:
View_InventorForm_tpCreateDate,Create date:
View_InventorPost_btnOpenHomeDashboard,Open Home Dashboard
View_InventorPost_btnOpenInventorDashboard,Open Inventor Dashboard
View_InventorPost_btnOpenMainDashboard,Open Main Dashboard
View_InventorStatusChange_btnOpenConfig,Open Config
View_InventorStatusChange_btnPrint,Print
View_InventorStatusChange_btnReloadConfig,Reload Config
View_InventorStatusChange_btnRunConfig,Run Config
View_InventorStatusChange_btnSave,Save
View_InventorStatusChange_btnSaveConfigAsDefault,Save as Default
View_InventorStatusChange_btnSendData,Start Process
View_InventorStatusChange_chkDataSent,Data is sent to the Office
View_InventorStatusChange_chkIncludeEndInventor,include End of Inventory Files
View_InventorStatusChange_chkIncludePack,include Pack zip file
View_InventorStatusChange_chkIncludeSdf,include Inventor .SDF 
View_InventorStatusChange_chkReportsPrinted,reports are printed
View_InventorStatusChange_grpPreClosedActions,Pre-closed actions
View_InventorStatusChange_tbChangeStatus,Change Status:
View_InventorStatusChange_tbDescription,Description:
View_InventorStatusChange_tbInventor,Inventor:
View_InventorStatusChange_tbInventorDate,Inventor date:
View_InventorStatusChange_tbManager,Manager:
View_InventorStatusChange_tbSavePath,Save Config Path
View_InventorStatusChange_tbZipPath,Zip path
View_InventorStatusDashboardPart_tbChangeStatus,Change Status
View_InventorStatusDashboardPart_tbSetCurrentAsProcess,Set Current As Process
View_InventorStatusDashboardPart_tbShowInventor,Show Inventor
View_InventorStatusDashboardPart_tbStatus,Status:
View_InventProductAddEdit_btnUndo,Undo
View_InventProductAddEdit_tbMakat,Makat:
View_InventProductAddEdit_tbOriginalCode,Original Code from PDA:
View_InventProductAddEdit_tbProductName,Product name:
View_InventProductAddEdit_tbQuantityEdit,QuantityEdit:
View_InventProductAddEdit_tbQuantityOriginal,QuantityOriginal:
View_InventProductAddEdit_tbQuantityPartialEdit,Quantity Partial Edit
View_InventProductAddEdit_tbRemark,Remark
View_InventProductAddEdit_tbSerialNumber,SerialNumber:
View_InventProductAddEdit_tbStatusBit,Status Bit:
View_InventProductClone_Quantity,QuantityEdit
View_InventProductClone_QuantityAfter,QuantityEdit after
View_InventProductClone_QuantityBefore,QuantityEdit in DB before
View_InventProductClone_tbMakat,Makat
View_InventProductListDetails_btnDisable,Enable/Disable itur
View_InventProductListDetails_busyPrinting,Printing...
View_InventProductListDetails_columnApprove,Approve
View_InventProductListDetails_columnCreateDate,CreateDate
View_InventProductListDetails_columnDeviceCode,Device Code
View_InventProductListDetails_columnDocumentCode,DocumentCode
View_InventProductListDetails_columnDocumentNumber,Document Number
View_InventProductListDetails_columnFromInventorToStart,To Start
View_InventProductListDetails_columnFromTime,Start Time
View_InventProductListDetails_columnInventorData,Inventor Data
View_InventProductListDetails_columnIturName,Itur Name
View_InventProductListDetails_columnName,Name
View_InventProductListDetails_columnPeriodFromTo,Period Start - End
View_InventProductListDetails_columnPeriodFromToEdit,Addition Time
View_InventProductListDetails_columnQuantityEdit,Quantity Edit
View_InventProductListDetails_columnQuantityPerEmployee,Per Hour for Employee
View_InventProductListDetails_columnQuantityPerHour,Per Hour from Device
View_InventProductListDetails_columnQuantityPerHourFromStart,Per Hour from Start
View_InventProductListDetails_columnQuantityPerHourTotal,Per Hour (Total)
View_InventProductListDetails_columnTotalItems,Total items
View_InventProductListDetails_columnToTime,End Time
View_InventProductListDetails_columnWorkerId,WorkerID
View_InventProductListDetails_columnWorkerName,Worker Name
View_InventProductListDetails_tbChangeItur,Change Itur
View_InventProductListDetails_tbDisable,Disable
View_InventProductListDetails_tbDocumentHeaders,Document headers
View_InventProductListDetails_tbEnable,Enable
View_InventProductListDetails_tbInventProducts,Invent products
View_InventProductListDetails_tbIturInfo,Itur info:
View_InventProductListDetails_tbStatusApproveBit,StatusApproveBit
View_InventProductListDetails_tbStatusDocHeaderBit,StatusDocHeaderBit
View_InventProductListDetails_tbStatusInventProductBit,StatusInventProductBit
View_InventProductListDetails_tbUndo,Undo to Quantity original fro PDA
View_Itur_tpChangeName,Edit
View_IturAdd_chkDisabled,Disabled
View_IturAdd_Printer2NotSet,Not Set
View_IturAdd_tbErpCode,ERP Code
View_IturAdd_tbLocation,Location
View_IturAdd_tbNumberPrefix,Number prefix
View_IturAdd_tbNumbers,Number(s)
View_IturAdd_tbPrinter2,Second Printer
View_IturAdd_tbTotalIturs,Total Iturs
View_IturAddEditDelete_columnCode,Code
View_IturAddEditDelete_columnCreateDate,Create Date
View_IturAddEditDelete_columnDisabled,Disabled
View_IturAddEditDelete_columnErpCode,ERP Code
View_IturAddEditDelete_columnLocation,Location
View_IturAddEditDelete_columnModifyDate,Modify Date
View_IturAddEditDelete_columnName,Name
View_IturAddEditDelete_columnNumber,Number
View_IturAddEditDelete_columnNumberPrefix,Number Preffix
View_IturAddEditDelete_columnNumberSufix,Number suffix
View_IturAddEditDelete_columnPublished,Published
View_IturAddEditDelete_columnStatusBit,Status bit
View_IturAddEditDelete_columnStatusDocHeaderBit,Status doc header bit
View_IturAddEditDelete_columnStatusGroupBit,Status group bit
View_IturAddEditDelete_columnTag,Tag
View_IturAddEditDelete_tbChangeState,Change state
View_IturAddEditDelete_tpChangeIturName,Edit
View_IturAddEditDelete_tpChangeIturPrefix,Change Itur Prefix
View_IturAddEditDelete_tpChangeIturTag,Change Itur Tag
View_IturAddEditDelete_tpChangeLocation,Change Location
View_IturAddEditDelete_tpExportERPByItur,Export ERP by Iturs
View_IturAddEditDelete_tpIturListPrint,Print Report
View_IturAddEditDelete_tpIturListPrintIS0155,Print Family Report
View_IturAddEditDelete_tpIturListPrintIS0160,Print by Item Code Report
View_IturAddEditDelete_tpShelf,Show Shelves
View_IturChangeTag_tbIturs,Iturs
View_IturEdit_chkDisabled,Disabled
View_IturEdit_tbErpCode,ERP Code
View_IturEdit_tbNumber,Number:
View_IturEdit_tbNumberPrefix,Number Preffix:
View_IturEdit_tbStatus,Status:
View_IturFilter_chkGroupStatus,Group status
View_IturFilter_chkGroupTag,Tag
View_IturFilter_chkInventProducts,Invent Products
View_IturFilter_chkLocation,Location
View_IturFilter_tbItur,Itur
View_IturListDetails_btnAddEditDelete,Itur Grid
View_IturListDetails_btnImportFromPda,Import from PDA
View_IturListDetails_btnRefresh,Refresh Iturs Status
View_IturListDetails_btnSpeedLink,Speed links
View_IturListDetails_busyContent,Refreshing Itur Status
View_IturListDetails_busyContentPrinting,Printing...
View_IturListDetails_chkDisabled,Disabled
View_IturListDetails_chkFilterByInventProduct,Filter by invent product
View_IturListDetails_tbAdapterFromPDA,Adapter {0}
View_IturListDetails_tbCodeInputFromPda,Code input from PDA
View_IturListDetails_tbFilters1,Filters #1
View_IturListDetails_tbFilters2,Filters #2
View_IturListDetails_tbGroupBy,Group by
View_IturListDetails_tbIturim,Iturim
View_IturListDetails_tbIturMode,Mode
View_IturListDetails_tbIturNumber,Itur number
View_IturListDetails_tbLastSessionCountDocuments,Last Session added {0} Documents
View_IturListDetails_tbLastSessionCountItem,Last Session added {0} Items
View_IturListDetails_tbLastSessionSumQuantityEdit,Last Session Sum Quantity {0}
View_IturListDetails_tbLocation,Location:
View_IturListDetails_tbMakat,Makat
View_IturListDetails_tbMode,Mode
View_IturListDetails_tbModeLocation,Location
View_IturListDetails_tbModePaging,Paging
View_IturListDetails_tbModeStatus,Status
View_IturListDetails_tbModeTag,Tag
View_IturListDetails_tbOrderBy,Order by
View_IturListDetails_tbProductModifyDate,Modify Date
View_IturListDetails_tbProductName,Product Name
View_IturListDetails_tbProductPriceBuy,Price Buy
View_IturListDetails_tbProductPriceSell,Price Sell
View_IturListDetails_tbProducts,Products
View_IturListDetails_tbProductSection,Section
View_IturListDetails_tbQuantityFilesInMISFolder,Quantity Files in MIS Folder  {0}
View_IturListDetails_tbQuantityFilesInSourceFolder,Quantity Files in Folder  {0}
View_IturListDetails_tbQuantityFilesInUnsureFolder,Quantity Files in Unsure Folder {0}
View_IturListDetails_tbSerialNumber,Serial Number
View_IturListDetails_tbStatusGroup,Status:
View_IturListDetails_tbTag,Tag:
View_IturListDetails_tbTotal,Total:
View_IturListDetails_tbTotalStatus,Total: {0}
View_IturLocationChange_tbItur,Iturim
View_IturLocationChange_tbLocation,New Location
View_IturLocationTagChange_tbTag,Tag
View_IturNameChange_tbCode,Itur Code
View_IturNameChange_tbERPCode,ERP Code
View_IturNameChange_tbName,Name
View_IturPrefixChange_All_chk,All
View_IturPrefixChange_tbPrefix,New Prefix
View_IturStateChange_tbDisabled,Disabled
View_IturStateChange_tbItur,Iturim
View_IturStatusChange_tbItur,Iturim
View_IturStatusChange_tbStatus,New status
View_IturTagChange_tbTotal,Total Iturs
View_LastCustomersDashboardPart_tbFind,Find
View_LastInventorsDashboardPart_columnDate,Date
View_LastInventorsDashboardPart_columnStatus,Status
View_LocationAddEdit_tbCode,Code
View_LocationAddEdit_tbColor,Color
View_LocationAddEdit_tbDescription,Description
View_LocationAddEdit_tbManager,Manager
View_LocationAddEdit_tbName,Name
View_LocationAddEdit_tbProcessCode,Process Code
View_LocationAddEdit_tbTag,Tag
View_LocationAddEdit_tbTitle,Title
View_LocationAddEditDelete_columnCode,Code
View_LocationAddEditDelete_columnColor,Color
View_LocationAddEditDelete_columnDescription,Description
View_LocationAddEditDelete_columnName,Name
View_LocationAddEditDelete_columnTag,Tag
View_LocationAddEditDelete_tpChangeIturTag,Change Itur Tag
View_LocationAddEditDelete_tpChangeLocationTag,Change Location Tag
View_LocationChangeTag_tbLocations,Locations
View_LocationChangeTag_tbTotalLocations,Total Locations
View_LocationCodeSelect_columnPrint,Print
View_LocationCodeSelect_columnReportCode,Report Code
View_LocationCodeSelect_columnSecondPrint,Print Second time
View_LocationCodeSelect_tbLocationCode,Location Code
View_LocationDashboardPart_columnColor,Color
View_LocationDashboardPart_columnDescription,Description
View_LocationDashboardPart_columnLocation,Location
View_LocationFilter_chkedAllLocations,Select All
View_LocationListDetail_chkFilterByLocations,Filter by locations
View_LocationListDetail_tbViewAll,View all
View_LocationMultiAdd_tbCount,Count
View_MaskAddEdit_tbAdapter,Adapter
View_MaskAddEdit_tbBarcodeMask,BarcodeMask
View_MaskAddEdit_tbMakatMask,MakatMask
View_MaskList_columnAdapter,Adapter
View_MaskList_columnBarcodeMask,BarcodeMask
View_MaskList_columnFile,File
View_MaskList_columnMakatMask,MakatMask
View_MaskSelect_columnMaskTemplate,Mask template
View_MaskSelect_columnResultOfApply,Result of applying Mask
View_MaskSelect_columnUseAsResult,Use as result
View_MaskSelect_tbApply,Applying input to List of standard Masks
View_MaskSelect_tbInputString,Input string
View_MaskTemplateAddEdit_tbAction,Action
View_MaskTemplateAddEdit_tbExpression,Expression
View_MaskTemplateAddEdit_tbName,Name
View_MdiFilter_expanderMdi,Mdi
View_MdiFilter_expanderMenu,Menu
View_MdiManager_tbReset,Reset Layout to Default
View_Model_CatalogForm_Enter_Valid_Number,Please enter valid number
View_Pack_busyContent,Compressing objects into zip archive
View_Pack_chkAutoCheck,Auto check
View_Pack_columnCatalogFiles,Data Files (for Catalog)
View_Pack_columnConfigFiles,Config Files
View_Pack_columnInDataFiles,InData (from PDA)
View_Pack_tbExpandTree,Expand Tree
View_Pack_tbSelectAllInvestorOnly,Select All Inventors Only
View_Pack_tbSelectObjects,Select objects to pack into zip archive:
View_PackSettings_tiCommon,Pack Settings
View_PathDashboardBrushSettings_BranchDashboard,Path Branch Dashboard Brush
View_PathDashboardBrushSettings_CustomerDashboard,Path Customer Dashboard Brush
View_PathDashboardBrushSettings_HomeDashboard,Path Home Dashboard Brush
View_PathDashboardBrushSettings_InventorDashboard,Path Inventor Dashboard Brush
View_PathDashboardBrushSettings_MainDashboard,Path Main Dashboard Brush
View_Pathettings_tbCommunicatorPath,MIS Communicator Path
View_Pathettings_tbExport,Export Path
View_Pathettings_tbExportAdapters,ExportAdapters
View_Pathettings_tbExportPda,Export Pda Path
View_Pathettings_tbFilterTemplates,Filter Templates
View_Pathettings_tbImportAdapters,Import Adapters
View_Pathettings_tbLog,Log Path
View_Pathettings_tbPlanPicture,Planogram Pictures
View_Pathettings_tbReportTemplate,Report Template Path
View_Pathettings_tbTerminalID,Terminal ID (JENG.EXE)
View_Pathettings_tbTransferFilesPath,MIS Transfer Files Path
View_Pathettings_tbUIConfigFolder,UI Config Folder
View_Pathettings_tbUIPropertySet,Dynamic Columns
View_Pathettings_tbZipFileToOffice,Zip Files To Office Path
View_PathSettings_columnName,Name
View_PathSettings_columnOpen,Open
View_PathSettings_columnPath,Path
View_PathSettings_tbDatabaseFolder,Databases Folder Path
View_PathSettings_tbImportFolderPath,Import Folder Path
View_PathSettings_tbOpenInExplorer,Open in explorer
View_PathSettings_tbParamsIni,Params.ini/params_ansi.ini Path
View_PathSettings_tbSettingsFolderPath,Settings Folder Path
View_PdaDashboardPart_tbSendDataToPda,Send Data To PDA
View_PdaDashboardPart_tbViewStatus,View Status
View_PlanCanvas_mnuIturAdd,Add Iturim
View_PlanCanvas_mnuIturClear,Delete all iturim
View_PlanCanvas_mnuIturDelete,Delete iturim
View_PlanCanvas_mnuLocked,Locked
View_PlanCanvas_tbAngle,Angle
View_PlanCanvas_tbHeight,Height
View_PlanCanvas_tbName,Name
View_PlanCanvas_tbWidth,Width
View_PlanCavas_mnuArrange,Arrange
View_PlanCavas_mnuBringForward,Bring Forward
View_PlanCavas_mnuSendBackward,Send Backward
View_PlanInfo_tbHeaderIturNumber,Itur Num
View_PlanInfo_tbHeaderTotalItems,Total Items
View_PlanInfo_tbProcess,Process:
View_PlanInfo_tbTotalItems,Total Items
View_PlanInfo_tbTotalIturs,Total Iturs
View_PlanIturAdd_tbNumbers,Number(s)
View_PlanLocationAssign_columnColor,Color
View_PlanLocationAssign_columnName,Name
View_PlanLocationAssign_tbLocations,Locations
View_PlanogramAddEditDelete_columnAngle,Rotate angle
View_PlanogramAddEditDelete_columnCode,Code
View_PlanogramAddEditDelete_columnHeight,Height
View_PlanogramAddEditDelete_columnName,Name
View_PlanogramAddEditDelete_columnType,Type
View_PlanogramAddEditDelete_columnWidth,Width
View_PlanogramAddEditDelete_columnX,X
View_PlanogramAddEditDelete_columnY,Y
View_PlanSizeChange_tbHeight,Height(m)
View_PlanSizeChange_tbWidth,Width(m)
View_PlanTextAssign_tbColor,Color
View_PlanTextAssign_tbFontSize,Font Size
View_PlanTextAssign_tbText,Text
View_ProcessAddEdit_AddAuditDB,Add New AuditDB
View_ProcessAddEdit_AddMainDB,Add MainDB
View_ProcessAddEdit_UserSettings,Add userSettings.config
View_ProductAddEdit_tbMakat,Makat
View_ProductAddEdit_tbName,Name
View_ProductAddEdit_tbPriceBuy,Price buy
View_ProductAddEdit_tbPriceSale,Price sale
View_ProductAddEdit_tbPriceString,Price string
View_ReportAddEdit_FromForm,From form
View_ReportAddEdit_tbDesc,Description
View_ReportAddEdit_tbMenuCaption,Menu Caption
View_ReportAddEdit_tbMenuLocalizationCode,Menu Localization Code
View_ReportAddEdit_tbName,Name
View_ReportAddEdit_tbPath,Path
View_ReportAddEdit_tbReportCode,Report Code
View_ReportAddEdit_tbReportList,Reports List
View_ReportAddEdit_tbShowInMenu,Show in Menu
View_ReportAddEdit_tbTag,Tag
View_ReportFavorites_btnOpenScript,Open script
View_ReportFavorites_btnRestoreLinks,Restore  Links of Report Template
View_ReportFavorites_btnSaveScript,Save Script
View_ReportFavorites_busyContent,Executing script...
View_ReportFavorites_columnDescription,Description
View_ReportFavorites_columnFileName,File Name
View_ReportFavorites_columnMenuCaption,Menu Caption
View_ReportFavorites_columnPath,Path
View_ReportFavorites_columnReportCode,Report Code
View_ReportFavorites_columnShowInMenu,Show in Menu
View_ReportFavorites_columnTag,Tag
View_ReportFavorites_radioCurrentUser,Current User
View_ReportFavorites_radioMain,Main
View_ReportScript_btnBrowse,Browse
View_ReportScript_btnClose,Close
View_ReportScript_btnRun,Run
View_ReportScript_busyContent,Executing script...
View_ReportScript_chkClear,Clear Relations Table before Start
View_ReportScript_radioCurrentUser,Current User
View_ReportScript_radioMain,Main
View_ReportScript_tbContext,Context:
View_ReportScript_tbLog,Log:
View_ReportScript_tbPath,Path to input file:
View_ReportScriptSave_btnBrowse,Browse
View_ReportScriptSave_btnClose,Close
View_ReportScriptSave_btnRun,Run
View_ReportScriptSave_busyContent,Executing script...
View_ReportScriptSave_radioCurrentUser,Current User
View_ReportScriptSave_radioMain,Main
View_ReportScriptSave_tbContext,Context:
View_ReportScriptSave_tbLog,Log:
View_ReportScriptSave_tbPath,Path to output file:
View_ReportsDashboardPart_mnuGenerateReport,Generate report
View_ReportTemplate_btnGenerate,Generate
View_ReportTemplate_chkAll,All
View_ReportTemplate_chkContext,Context
View_ReportTemplate_chkCurrentUser,Current user
View_ReportTemplate_chkMain,Main
View_ReportTemplate_chkUseCurrentContext,Use current context's filter
View_ReportTemplate_columnDescription,Description
View_ReportTemplate_columnFileName,File Name
View_ReportTemplate_columnMenuCaption,Menu Caption
View_ReportTemplate_columnPath,Path
View_ReportTemplate_columnShowInMenu,Show in Menu
View_ReportTemplate_columnTag,Tag
View_ScriptSaveOpen_busyContent,Executing script...
View_ScriptSaveOpen_tbClearRelations,Clear Relations Table before Start
View_ScriptSaveOpen_tbLog,Log:
View_ScriptSaveOpen_tbPathToInput,Path to input file:
View_ScriptSaveOpen_tbPathToOutput,Path to output file:
View_ScriptSaveOpen_tbUserCurrentContext,Use Current Context Filter
View_Search_btnSearch,Search
View_Search_busyContent,Searching...
View_Search_tbObjectType,Object Type
View_SearchBranch_tbBranch,Branches
View_SearchBranch_tbCustomer,Customers
View_SearchBranch_tbInventor,Inventors
View_SearchBranch_tbInventProduct,Invent Products
View_SearchBranchField_tbAddress,Address
View_SearchBranchField_tbCodeERP,Code ERP
View_SearchBranchField_tbCodeLocal,CodeLocal
View_SearchBranchField_tbContactPerson,Contact Person
View_SearchBranchField_tbName,Name
View_SearchBranchField_tbPhone,Phone
View_SearchCustomerField_tbAddress,Address
View_SearchCustomerField_tbCode,Code
View_SearchCustomerField_tbContactPerson,Contact Person
View_SearchCustomerField_tbName,Name
View_SearchCustomerField_tbPhone,Phone
View_SearchInventorField_tbCode,Code
View_SearchInventorField_tbDateFrom,DateFrom
View_SearchInventorField_tbDateTo,DateTo
View_SearchInventorField_tbDescription,Description
View_SearchInventProduct_tbIturCode,Itur Code
View_SearchInventProductAdvancedField_chkAggregate,Aggregate
View_SearchInventProductAdvancedField_tbCode,Filter List by Code
View_SearchInventProductAdvancedField_tbTag,Filter List by Tag
View_SearchInventProductAdvancedFieldSimple_chkItemsFromCatalog,Items from Catalog
